name,difficulty,would_take_again,num_ratings,quality,department,link
Jim Donnelly,N/A,N/A,13 ratings,4.3,Marketing,https://www.ratemyprofessors.com/professor/764
Gordon Holbein,69%,69%,93 ratings,3.9,Management,https://www.ratemyprofessors.com/professor/15188
Robert Molzon,0%,0%,53 ratings,2.2,Mathematics,https://www.ratemyprofessors.com/professor/16217
Neil Quisenberry,N/A,N/A,11 ratings,4.7,Social Science,https://www.ratemyprofessors.com/professor/22445
Jim Holler,N/A,N/A,66 ratings,2.4,Science,https://www.ratemyprofessors.com/professor/22446
Frank Hale,N/A,N/A,31 ratings,3.5,Philosophy,https://www.ratemyprofessors.com/professor/52494
J.Robert Heath,34%,34%,30 ratings,1.6,Engineering,https://www.ratemyprofessors.com/professor/56883
Alma Ferrier,N/A,N/A,34 ratings,1.5,Science,https://www.ratemyprofessors.com/professor/56902
Carol Baskin,100%,100%,14 ratings,4.7,Science,https://www.ratemyprofessors.com/professor/56904
Stanley Brunn,N/A,N/A,33 ratings,2.5,Geography,https://www.ratemyprofessors.com/professor/56905
Donna Smith,100%,100%,12 ratings,4.2,Family Studies,https://www.ratemyprofessors.com/professor/56963
Derek Lane,100%,100%,6 ratings,4.3,Communication,https://www.ratemyprofessors.com/professor/72249
Paul Piwowarkski,N/A,N/A,33 ratings,2.9,Computer Science,https://www.ratemyprofessors.com/professor/99073
Bill Burke,77%,77%,122 ratings,3.9,Science,https://www.ratemyprofessors.com/professor/110995
Robert McKenzie,N/A,N/A,10 ratings,4.9,Education,https://www.ratemyprofessors.com/professor/122678
Al Shapere,100%,100%,10 ratings,1.6,Science,https://www.ratemyprofessors.com/professor/122683
Tom Widiger,50%,50%,10 ratings,3.5,Psychology,https://www.ratemyprofessors.com/professor/128628
George Bebensee,N/A,N/A,13 ratings,4.5,English,https://www.ratemyprofessors.com/professor/128630
Brauch Fugate,N/A,N/A,20 ratings,3.8,Mathematics,https://www.ratemyprofessors.com/professor/131010
James Albisetti,0%,0%,18 ratings,3.4,History,https://www.ratemyprofessors.com/professor/133132
Louis Swift,N/A,N/A,10 ratings,3.9,Languages,https://www.ratemyprofessors.com/professor/133143
David Wilke,0%,0%,59 ratings,3.1,Philosophy,https://www.ratemyprofessors.com/professor/133153
Donald Gross,N/A,N/A,14 ratings,2.9,Political Science,https://www.ratemyprofessors.com/professor/133373
John Jones,N/A,N/A,0 ratings,0.0,Geography,https://www.ratemyprofessors.com/professor/141967
David Moecher,50%,50%,10 ratings,4.0,Geology,https://www.ratemyprofessors.com/professor/146326
Rick Smoot,N/A,N/A,11 ratings,3.3,History,https://www.ratemyprofessors.com/professor/148394
Laurie Hatch,N/A,N/A,4 ratings,5.0,Sociology,https://www.ratemyprofessors.com/professor/150412
